eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Themisto,FALSE,7507000,5909000,8874300,0.242,43.08,1,0.0029,0,4,0,0,0,NA,130.02,0,30/09/1975,690000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.09275955774610360,16.696720394298700,3.29970262011461E-11,3.63157894736842E-13,0.05018119552686920,1626131032199085
Megaclite,FALSE,14146700,0,0,0.421,152.8,1,0,0,2.7,0,0,0,NA,752.8,0,23/11/2000,210000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.04922311917266920,8.860161451080460,1.50342700628972E-11,1.10526315789474E-13,0.09456484864259500,139363256461461.95
Taygete,FALSE,23363000,0,0,0.252,165.2,1,0,0,2.5,0,0,0,NA,732.2,0,23/11/2000,160000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029805440225998400,5.364979240679710,1.28894633598227E-11,8.42105263157895E-14,0.1561720089375580,38931581249098.200
Chaldene,FALSE,23179000,0,0,0.251,165.2,1,0,0,1.9,0,0,0,NA,723.8,0,23/11/2000,75000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030042016480434900,5.407562966478280,7.4449540366336E-12,3.94736842105263E-14,0.15494204490706000,18540060677313.500
Harpalyke,FALSE,21104000,0,0,0.226,148.6,1,0,0,2.2,0,0,0,NA,623.3,0,23/11/2000,120000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03299583965125100,5.93925113722517,9.98160042584671E-12,6.31578947368421E-14,0.1410715266283530,35784171647714.80
Kalyke,FALSE,23564000,0,0,0.245,165.2,1,0,0,2.6,0,0,0,NA,743,0,23/11/2000,190000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02955120522831440,5.319216941096590,1.39412435699842E-11,1E-13,0.15751561094913400,45445914968415.200
Iocaste,FALSE,21272000,0,0,0.216,149.4,1,0,0,2.6,0,0,0,NA,631.5,0,23/11/2000,190000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03273526701767580,5.892348063181650,1.39412435699842E-11,1E-13,0.1421945372648940,55766865029834.00
Erinome,FALSE,23283000,0,0,0.266,164.9,1,0,0,1.6,0,0,0,NA,728.3,0,23/11/2000,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02990781256710910,5.383406262079630,5.27952419218338E-12,2.36842105263158E-14,0.15563724196777600,11024881144711.100
Isonoe,FALSE,23231000,0,0,0.246,165.2,1,0,0,1.9,0,0,0,NA,725.5,0,23/11/2000,75000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02997477078042270,5.395458740476090,7.4449540366336E-12,3.94736842105263E-14,0.15528964343741800,18457153858066.500
Praxidike,FALSE,21148000,0,0,0.23,149,1,0,0,3.4,0,0,0,NA,625.3,0,23/11/2000,430000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.032927246075279000,5.926904293550220,2.38403514303281E-11,2.26315789473684E-13,0.1413656484617330,127693599959273.58
Autonoe,FALSE,24033000,0,0,0.334,152.9,1,0.0015,0,2,0,0,0,NA,715.4,0,10/12/2001,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.028974493404901600,5.215408812882290,8.24925655028653E-12,4.73684210526316E-14,0.16065068230947800,20695018323092.500
Thyone,FALSE,21192000,0,0,0.229,148.5,1,0.0015,0,2,0,0,0,NA,627.3,0,11/12/2001,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03285881464703660,5.914586636466590,8.24925655028653E-12,4.73684210526316E-14,0.1416597702951130,26615700298452.30
Hermippe,FALSE,21300000,0,0,0.21,150.7,1,0.0015,0,2,0,0,0,NA,633.9,0,19/12/2001,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03269220657277000,5.884597183098590,8.24925655028653E-12,4.73684210526316E-14,0.1423817057043180,26346478873239.400
Aitne,FALSE,23315000,0,0,0.264,165.1,1,0.0012,0,1.5,0,0,0,NA,730.2,0,19/12/2001,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029866759596826100,5.376016727428690,4.64020680953617E-12,2.36842105263158E-14,0.1558511487556890,10994638460686.900
Eurydome,FALSE,23148000,0,0,0.276,150.3,1,0.0012,0,1.5,0,0,0,NA,723.9,0,19/12/2001,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03008223172628310,5.4148017107309500,4.64020680953617E-12,2.36842105263158E-14,0.15473482270627000,11153851166918.100
Euanthe,FALSE,21038000,0,0,0.232,148.9,1,0.0012,0,1.5,0,0,0,NA,620.6,0,11/12/2001,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03309932027759290,5.957877649966730,4.64020680953617E-12,2.36842105263158E-14,0.14063034387828400,13503392486830.50
Euporie,FALSE,19339000,0,0,0.144,145.8,1,0,0,1,0,0,0,NA,553.1,0,11/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03600718754847720,6.48129375872589,2.06231413757163E-12,7.89473684210526E-15,0.12927323035754900,5326752409279.86
Orthosie,FALSE,21164000,0,0,0.281,145.9,1,8.1E-04,0,1,0,0,0,NA,622.6,0,11/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03290223965223970,5.922403137403140,2.06231413757163E-12,7.89473684210526E-15,0.14147260185568900,4447695349698.750
Sponde,FALSE,23790000,0,0,0.312,151,1,8.1E-04,0,1,0,0,0,NA,748.3,0,19/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029270407734342200,5.268673392181590,2.06231413757163E-12,7.89473684210526E-15,0.15902632763876600,3519991815735.310
Kale,FALSE,23302000,0,0,0.26,165,1,8.1E-04,0,1,0,0,0,NA,729.5,0,19/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02988340056647500,5.379012101965500,2.06231413757163E-12,7.89473684210526E-15,0.15576424912309900,3668969841652.7800
Pasithee,FALSE,23090000,0,0,0.267,165.1,1,8.1E-04,0,1,0,0,0,NA,716.3,0,11/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030157773928107400,5.428399307059330,2.06231413757163E-12,7.89473684210526E-15,0.1543471166531780,3736652161003.6700
Hegemone,FALSE,23566000,0,0,0.328,155.2,1,0,0,2,0,0,0,NA,739.6,0,2003,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029548671815327200,5.318760926758890,8.24925655028653E-12,2.36842105263158E-14,0.1575289801233780,10761679299120.100
Mneme,FALSE,21036000,0,0,0.227,148.6,1,0,0,2,0,0,0,NA,620,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03310249096786460,5.958448374215630,8.24925655028653E-12,7.89473684210526E-15,0.14061697470403900,4501986760641.880
Aoede,FALSE,23969000,0,0,0.432,158.3,1,0,0,2,0,0,0,NA,761.5,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02905185865075720,5.229334557136300,8.24925655028653E-12,4.73684210526316E-14,0.16022286873365200,20805682049704.00
Thelxinoe,FALSE,21165000,0,0,0.221,151.4,1,0,0,2,0,0,0,NA,628.1,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.032900732341129200,5.92213182140326,8.24925655028653E-12,7.89473684210526E-15,0.14147928644281200,4447275071855.350
Arche,FALSE,23355000,0,0,0.259,165,1,0.0012,0,1.5,0,0,0,NA,762.7,0,31/10/2002,41500000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029815606936416200,5.3668092485549100,4.64020680953617E-12,2.18421052631579E-14,0.15611853224058000,10104797907402.300
Kallichore,FALSE,23273000,0,0,0.264,165.5,1,0,0,2,0,0,0,NA,764.7,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02992068061702400,5.385722511064320,8.24925655028653E-12,7.89473684210526E-15,0.15557039609655400,3678119192135.8900
Helike,FALSE,21064000,0,0,0.156,154.8,1,0,0,4,0,0,0,NA,634.8,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03305858336498290,5.950545005696920,3.29970262011461E-11,4.73684210526316E-14,0.14080414314346300,26940155363957.600
Carpo,FALSE,17078000,0,0,0.43,51.4,1,0,0,3,0,0,0,NA,456.1,0,2003,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.040774388101651200,7.339389858297220,1.85608272381447E-11,2.36842105263158E-14,0.11415937887410100,20491689851463.200
Eukelade,FALSE,23322000,0,0,0.272,165.5,1,0,0,4,0,0,0,NA,746.4,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029857902409741900,5.374422433753540,3.29970262011461E-11,4.73684210526316E-14,0.1558979408655450,21976078924762.200
Cyllene,FALSE,23787000,0,0,0.319,149.3,1,0,0,1,0,0,0,NA,737.8,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029274099297935800,5.269337873628450,2.06231413757163E-12,7.89473684210526E-15,0.15900627387740000,3520879749594.610
Kore,FALSE,24486000,0,0,0.325,145,1,0,0,1,0,0,0,NA,779.2,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02843841378747040,5.11891448174467,2.06231413757163E-12,7.89473684210526E-15,0.16367880027586500,3322728430568.260
